,Unnamed: 0,number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,Unnamed: 0.1,distance,datetime,date,time,lat,lng
798,35.0,62.0,dublin,LIME STREET,Lime Street,"{'lat': 53.346026, 'lng': -6.243576}",FALSE,FALSE,40,24,16,OPEN,1618824895000,35.0,,,,,,
799,36.0,5.0,dublin,CHARLEMONT PLACE,Charlemont Street,"{'lat': 53.330662, 'lng': -6.260177}",FALSE,FALSE,40,22,18,OPEN,1618824966000,36.0,,,,,,
800,37.0,97.0,dublin,KILMAINHAM GAOL,Kilmainham Gaol,"{'lat': 53.342113, 'lng': -6.310015}",FALSE,FALSE,40,22,18,OPEN,1618824816000,37.0,,,,,,
801,38.0,61.0,dublin,HARDWICKE PLACE,Hardwicke Place,"{'lat': 53.357043, 'lng': -6.263232}",FALSE,FALSE,25,23,2,OPEN,1618824983000,38.0,,,,,,
802,39.0,77.0,dublin,WOLFE TONE STREET,Wolfe Tone Street,"{'lat': 53.348875, 'lng': -6.267459}",FALSE,FALSE,29,14,15,OPEN,1618824844000,39.0,,,,,,
803,40.0,73.0,dublin,FRANCIS STREET,Francis Street,"{'lat': 53.342081, 'lng': -6.275233}",FALSE,FALSE,30,26,4,OPEN,1618824659000,40.0,,,,,,
804,41.0,4.0,dublin,GREEK STREET,Greek Street,"{'lat': 53.346874, 'lng': -6.272976}",FALSE,FALSE,20,2,18,OPEN,1618824781000,41.0,,,,,,
805,42.0,49.0,dublin,GUILD STREET,Guild Street,"{'lat': 53.347932, 'lng': -6.240928}",FALSE,FALSE,40,17,19,OPEN,1618824969000,42.0,,,,,,
806,43.0,19.0,dublin,HERBERT PLACE,Herbert Place,"{'lat': 53.334432, 'lng': -6.245575}",FALSE,FALSE,30,11,19,OPEN,1618824680000,43.0,,,,,,
807,44.0,7.0,dublin,HIGH STREET,High Street,"{'lat': 53.343565, 'lng': -6.275071}",FALSE,FALSE,29,29,0,OPEN,1618824689000,44.0,,,,,,
808,45.0,102.0,dublin,WESTERN WAY,Western Way,"{'lat': 53.354929, 'lng': -6.269425}",FALSE,FALSE,40,34,6,OPEN,1618824721000,45.0,,,,,,
809,46.0,38.0,dublin,TALBOT STREET,Talbot Street,"{'lat': 53.350974, 'lng': -6.25294}",FALSE,FALSE,40,29,11,OPEN,1618824547000,46.0,,,,,,
810,47.0,53.0,dublin,NEWMAN HOUSE,Newman House,"{'lat': 53.337132, 'lng': -6.26059}",FALSE,FALSE,40,27,13,OPEN,1618824549000,47.0,,,,,,
811,48.0,58.0,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,"{'lat': 53.339218, 'lng': -6.240642}",FALSE,FALSE,40,33,7,OPEN,1618824536000,48.0,,,,,,
812,49.0,66.0,dublin,NEW CENTRAL BANK,New Central Bank,"{'lat': 53.347122, 'lng': -6.234749}",FALSE,FALSE,40,15,18,OPEN,1618824891000,49.0,,,,,,
813,50.0,104.0,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),"{'lat': 53.355173, 'lng': -6.278424}",FALSE,FALSE,40,34,6,OPEN,1618824502000,50.0,,,,,,
814,51.0,101.0,dublin,KING STREET NORTH,King Street North,"{'lat': 53.350291, 'lng': -6.273507}",FALSE,FALSE,30,12,17,OPEN,1618824588000,51.0,,,,,,
815,52.0,115.0,dublin,KILLARNEY STREET,Killarney Street,"{'lat': 53.354845, 'lng': -6.247579}",FALSE,FALSE,30,16,14,OPEN,1618824549000,52.0,,,,,,
816,53.0,47.0,dublin,HERBERT STREET,Herbert Street,"{'lat': 53.335742, 'lng': -6.24551}",FALSE,FALSE,40,35,5,OPEN,1618824487000,53.0,,,,,,
817,54.0,117.0,dublin,HANOVER QUAY EAST,Hanover Quay East,"{'lat': 53.343653, 'lng': -6.231755}",FALSE,FALSE,40,39,1,OPEN,1618824495000,54.0,,,,,,
818,55.0,8.0,dublin,CUSTOM HOUSE QUAY,Custom House Quay,"{'lat': 53.347884, 'lng': -6.248048}",FALSE,FALSE,30,12,18,OPEN,1618824977000,55.0,,,,,,
819,56.0,27.0,dublin,MOLESWORTH STREET,Molesworth Street,"{'lat': 53.341288, 'lng': -6.258117}",FALSE,FALSE,20,2,18,OPEN,1618824872000,56.0,,,,,,
820,57.0,16.0,dublin,GEORGES QUAY,Georges Quay,"{'lat': 53.347508, 'lng': -6.252192}",FALSE,FALSE,20,15,5,OPEN,1618824977000,57.0,,,,,,
821,58.0,96.0,dublin,KILMAINHAM LANE,Kilmainham Lane,"{'lat': 53.341805, 'lng': -6.305085}",FALSE,FALSE,30,20,10,OPEN,1618824958000,58.0,,,,,,
822,59.0,82.0,dublin,MOUNT BROWN,Mount Brown,"{'lat': 53.341645, 'lng': -6.29719}",FALSE,FALSE,22,17,5,OPEN,1618824617000,59.0,,,,,,
823,60.0,76.0,dublin,MARKET STREET SOUTH,Market Street South,"{'lat': 53.342296, 'lng': -6.287661}",FALSE,FALSE,38,20,18,OPEN,1618825065000,60.0,,,,,,
824,61.0,71.0,dublin,KEVIN STREET,Kevin Street,"{'lat': 53.337757, 'lng': -6.267699}",FALSE,FALSE,40,31,9,OPEN,1618825018000,61.0,,,,,,
